,Stock,Stock_to_Flow,Price
2009-01-03,7368.421052631579,0.00273972602739726,0.0
2009-01-04,14736.842105263158,0.005479452054794521,0.0
2009-01-05,22105.263157894737,0.00821917808219178,0.0
2009-01-06,29473.684210526317,0.010958904109589041,0.0
2009-01-07,36842.10526315789,0.013698630136986299,0.0
2009-01-08,44210.52631578947,0.01643835616438356,0.0
2009-01-09,51578.94736842105,0.019178082191780823,0.0
2009-01-10,58947.36842105263,0.021917808219178082,0.0
2009-01-11,66315.78947368421,0.02465753424657534,0.0
2009-01-12,73684.21052631579,0.0273972602739726,0.0
2009-01-13,81052.63157894736,0.03013698630136986,0.0
2009-01-14,88421.05263157893,0.03287671232876712,0.0
2009-01-15,95789.4736842105,0.03561643835616437,0.0
2009-01-16,103157.89473684208,0.03835616438356163,0.0
2009-01-17,110526.31578947365,0.041095890410958895,0.0
2009-01-18,117894.73684210522,0.04383561643835615,0.0
2009-01-19,125263.1578947368,0.0465753424657534,0.0
2009-01-20,132631.57894736837,0.04931506849315066,0.0
2009-01-21,139999.99999999994,0.052054794520547926,0.0
2009-01-22,147368.42105263151,0.054794520547945175,0.0
2009-01-23,154736.8421052631,0.05753424657534244,0.0
2009-01-24,162105.26315789466,0.0602739726027397,0.0
2009-01-25,169473.68421052623,0.06301369863013695,0.0
2009-01-26,176842.1052631578,0.0657534246575342,0.0
2009-01-27,184210.52631578938,0.06849315068493148,0.0
2009-01-28,191578.94736842095,0.07123287671232872,0.0
2009-01-29,198947.36842105252,0.07397260273972599,0.0
2009-01-30,206315.7894736841,0.07671232876712324,0.0
2009-01-31,213684.21052631567,0.0794520547945205,0.0
2009-02-01,221052.63157894724,0.08219178082191776,0.0
2009-02-02,228421.05263157882,0.08493150684931502,0.0
2009-02-03,235789.4736842104,0.08767123287671226,0.0
2009-02-04,243157.89473684196,0.09041095890410954,0.0
2009-02-05,250526.31578947353,0.0931506849315068,0.0
2009-02-06,257894.7368421051,0.09589041095890405,0.0
2009-02-07,265263.1578947367,0.0986301369863013,0.0
2009-02-08,272631.57894736825,0.10136986301369857,0.0
2009-02-09,279999.9999999998,0.10410958904109582,0.0
2009-02-10,287368.4210526314,0.10684931506849307,0.0
2009-02-11,294736.842105263,0.10958904109589035,0.0
2009-02-12,302105.26315789454,0.1123287671232876,0.0
2009-02-13,309473.6842105261,0.11506849315068486,0.0
